job_id,search_role,skill
NWdSUWdHTzljOWhxZVRCSkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURGhDTVhkdk5ISkNNM0ozYVVzNVZHWkpkVGRHVEVaMVFuZHZiV3RCWTFWb1kyOU5Va2RFYzNaYU0xSllaSFEyY1UxTFZHbFJNMmh1ZDJFMWFGcElhVlpHVHpOVVRHdHZRMTlQTWxaSllXSjRNVkJ3Y1VFM1NGZDBPRk5pTmt0VU1VWkVla2t5YkVSZmVuZE5Sa2xDZVRGVFlqZDFkR2xNZUZWM1JFOU9hRTVOUkdkbVUwSVNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daU2VtOU1RM1o1WldrNWR6WnNVMlY0VTBoSFZFOTRkemhQZEV0Ug,Data Analyst,AWS
TTZncTY4NEtoRWtoT2lMM0FBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURGd3VTNSSlZEZDZhMVpQUTA5blJrWjJiMWxvVEZoWFVrOVVPVXB2WmpoNVRXUXpZblJwUjBGVGVIWkNTbFJsYWtsNFpUUmhOMWMxY25OM01EZEVlbGhoVUZSaFdWODFhbTh0V2t4dVZXazVRa0Z1YzJoYVgxaGtibUpFV0dWZlUxRmxiWFJQYjFkdlZVdzFkMVZOYTNkVE5XaEZNazFGZVY5eFgzVXhVa3c1VVVGMGNsa1NGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daU2N6a3hiREZpTFhRMmFtaE9kMVZVTVRkc1pVTXdYMGh1YTJWQg,Data Analyst,Excel
dTd6TEFualFsTi1qSUFXNkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMWt0Ym1aU09IbHBTMmxEWlRGc1JWWkhabDluYm5salNWaHZRakZaT0cxYVNWOUdOWGhFVTNNMGJsUkVNVlUyY25SSlgwVjFVV0l5Vm5kNFdsWXpNbTU1ZWsxeVVVSXdUMWhZV1hjM2RteGxUbHBvZFVWRmN6a3RlVUowYWkxUGEwNDBiRTF1UzNselFVczVVMWhVUkc5dFMyVTVRbEF4YkVGbVlXWXhSRkZrVm1seVVWb1NGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daVE1rZHRaRVV3WkVoVFdHaEJkM2xOY1ZnelRIZFhMVTFuTFRGQg,Data Analyst,SQL
dTd6TEFualFsTi1qSUFXNkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMWt0Ym1aU09IbHBTMmxEWlRGc1JWWkhabDluYm5salNWaHZRakZaT0cxYVNWOUdOWGhFVTNNMGJsUkVNVlUyY25SSlgwVjFVV0l5Vm5kNFdsWXpNbTU1ZWsxeVVVSXdUMWhZV1hjM2RteGxUbHBvZFVWRmN6a3RlVUowYWkxUGEwNDBiRTF1UzNselFVczVVMWhVUkc5dFMyVTVRbEF4YkVGbVlXWXhSRkZrVm1seVVWb1NGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daVE1rZHRaRVV3WkVoVFdHaEJkM2xOY1ZnelRIZFhMVTFuTFRGQg,Data Analyst,Power BI
dTd6TEFualFsTi1qSUFXNkFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBTMWt0Ym1aU09IbHBTMmxEWlRGc1JWWkhabDluYm5salNWaHZRakZaT0cxYVNWOUdOWGhFVTNNMGJsUkVNVlUyY25SSlgwVjFVV0l5Vm5kNFdsWXpNbTU1ZWsxeVVVSXdUMWhZV1hjM2RteGxUbHBvZFVWRmN6a3RlVUowYWkxUGEwNDBiRTF1UzNselFVczVVMWhVUkc5dFMyVTVRbEF4YkVGbVlXWXhSRkZrVm1seVVWb1NGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daVE1rZHRaRVV3WkVoVFdHaEJkM2xOY1ZnelRIZFhMVTFuTFRGQg,Data Analyst,Tableau
U1l6dnNtM2xwUGI4aTNHV0FBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURmsxVWpOMGVYZHNZM2xMWTFkUE5sVmtla2hIUkVSRlJITm1WREp4UkVsNlVWbElhelpCWVhWaU5VWmhOamxEWDNOQmMzWnRSSGxyVkhoRlVWOVNURkJ2YUZSWVpEbHhhM0JKT0ZsaE1VWXRUblJzVlZkSFREQlJjelpvUmxsV2MxQlROVVJIYTI5d1JYZElla3hzUWtwWGJVVkNiMnBDVTNOdGRUSXRUVmxwWTI5M2EwMFNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daUk1rMTBWMVZsU0hoalNWVm1WRko0UzA1aFkya3dRak5PTTFaUg,Data Analyst,Excel
U1l6dnNtM2xwUGI4aTNHV0FBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURmsxVWpOMGVYZHNZM2xMWTFkUE5sVmtla2hIUkVSRlJITm1WREp4UkVsNlVWbElhelpCWVhWaU5VWmhOamxEWDNOQmMzWnRSSGxyVkhoRlVWOVNURkJ2YUZSWVpEbHhhM0JKT0ZsaE1VWXRUblJzVlZkSFREQlJjelpvUmxsV2MxQlROVVJIYTI5d1JYZElla3hzUWtwWGJVVkNiMnBDVTNOdGRUSXRUVmxwWTI5M2EwMFNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daUk1rMTBWMVZsU0hoalNWVm1WRko0UzA1aFkya3dRak5PTTFaUg,Data Analyst,Git
QkJhYnFGd1RPT3Q5bk5POUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURTgxTFhvMlNFZEhNRzg1TW1VdFltWmpjM2syYnpWTFJscGpNa2d3ZGpkaVVua3dNbTQ1VWpWaFJVRkRZemRhUjFKUFdtOVRjbGh5YWtkUlQzVnFjV1JmYlVKRlYzZEhTRGxWYW0xeFRqSTJiMVoyZURRM2FrWkxXRmRQVG1aTGJqVXpiREJuTW5BNVEzazViamhvUW5weVZIaEtWakJFY0dKTVgxbERNRVoxWWtwMFYwNFNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daVFUzZE5SekJyTmxGR1Z6RmlUak5DYms1WGEzVm9PV0YyYWpObg,Data Analyst,Python
QkJhYnFGd1RPT3Q5bk5POUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURTgxTFhvMlNFZEhNRzg1TW1VdFltWmpjM2syYnpWTFJscGpNa2d3ZGpkaVVua3dNbTQ1VWpWaFJVRkRZemRhUjFKUFdtOVRjbGh5YWtkUlQzVnFjV1JmYlVKRlYzZEhTRGxWYW0xeFRqSTJiMVoyZURRM2FrWkxXRmRQVG1aTGJqVXpiREJuTW5BNVEzazViamhvUW5weVZIaEtWakJFY0dKTVgxbERNRVoxWWtwMFYwNFNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daVFUzZE5SekJyTmxGR1Z6RmlUak5DYms1WGEzVm9PV0YyYWpObg,Data Analyst,SQL
QkJhYnFGd1RPT3Q5bk5POUFBQUFBQT09OkVzd0JDb3dCUVVwcFZEUjBURTgxTFhvMlNFZEhNRzg1TW1VdFltWmpjM2syYnpWTFJscGpNa2d3ZGpkaVVua3dNbTQ1VWpWaFJVRkRZemRhUjFKUFdtOVRjbGh5YWtkUlQzVnFjV1JmYlVKRlYzZEhTRGxWYW0xeFRqSTJiMVoyZURRM2FrWkxXRmRQVG1aTGJqVXpiREJuTW5BNVEzazViamhvUW5weVZIaEtWakJFY0dKTVgxbERNRVoxWWtwMFYwNFNGMVp3VDA1aGNUTjZSalpsUVRsMU9GQjFZa3hUZFZGTkdpSkJSSE55T1daVFUzZE5SekJyTmxGR1Z6RmlUak5DYms1WGEzVm9PV0YyYWpObg,Data Analyst,dbt
